site,min_level,max_level,level_difference,slope,slope_per_year,num_years,status
Site_269,-225.85,-57.92,167.93,-0.44923393428322167,-1.4491417234942634,31,falling
Site_2690,-185.51,-32.4,153.10999999999999,-0.38019924192569243,-1.2264491675022335,31,falling
Site_2691,-181.92,-35.67,146.25,-0.4013238267958353,-1.2945929896639847,31,falling
Site_2692,-173.13,-32.5,140.63,-0.403564181244038,-1.3018199394968966,31,falling
Site_2693,-196.22,-50.55,145.67000000000002,-0.3665774373415366,-1.1825078623920533,31,falling
Site_2694,-183.44,-46.5,136.94,-0.36591488753870716,-1.1803706049635714,31,falling
Site_2695,-214.81,-47.01,167.8,-0.44936266917657613,-1.4495569973437938,31,falling
Site_2696,-199.07,-19.01,180.06,-0.49686319462512024,-1.6027844987907105,31,falling
Site_2697,-197.63,-36.28,161.35,-0.4359009708044468,-1.4061321638853121,31,falling
Site_2698,-231.01,-49.27,181.73999999999998,-0.476441404835147,-1.5369077575327323,31,falling
Site_2699,-224.89,-22.25,202.64,-0.5414660448008648,-1.746664660647951,31,falling
Site_27,-181.94,-53.24,128.7,-0.33877972227748765,-1.0928378137983472,31,falling
Site_270,-238.41,-64.53,173.88,-0.46808433959280293,-1.509949482557429,31,falling
Site_2700,-180.27,-47.29,132.98000000000002,-0.327919932865021,-1.057806235048455,31,falling
Site_2701,-173.51,-41.36,132.14999999999998,-0.3562506134484217,-1.149195527252973,31,falling
Site_2702,-187.73,-57.59,130.14,-0.3769932176326249,-1.2161071536536288,31,falling
Site_2703,-187.67,-57.78,129.89,-0.35917019176321135,-1.1586135218168108,31,falling
Site_2704,-214.66,-56.77,157.89,-0.4372289119133979,-1.4104158448819288,31,falling
Site_2705,-184.56,-40.08,144.48000000000002,-0.3611235467266595,-1.1649146668601917,31,falling
Site_2706,-173.49,-24.48,149.01000000000002,-0.38395289328293114,-1.23855772026752,31,falling
Site_2707,-234.0,-63.25,170.75,-0.477321503088923,-1.539746784157816,31,falling
Site_2708,-215.97,-47.8,168.17000000000002,-0.4673319253352922,-1.5075223397912652,31,falling
Site_2709,-218.7,-59.41,159.29,-0.39261901664600585,-1.2665129569225995,31,falling
Site_271,-233.9,-69.6,164.3,-0.4632738428653781,-1.494431751178639,31,falling
Site_2710,-186.93,-44.68,142.25,-0.42827924274192297,-1.3815459443287839,31,falling
Site_2711,-216.26,-59.22,157.04,-0.4248274539212233,-1.3704111416813654,31,falling
Site_2712,-186.66,-38.41,148.25,-0.40508893599220486,-1.3067385032006609,31,falling
Site_2713,-201.86,-44.7,157.16000000000003,-0.4432988501349332,-1.429996290757849,31,falling
Site_2714,-203.92,-31.61,172.31,-0.42720718232044236,-1.3780876849046526,31,falling
Site_2715,-209.38,-23.62,185.76,-0.5230521954056411,-1.68726514646981,31,falling
Site_2716,-248.0,-63.19,184.81,-0.5364075491141344,-1.73034693262624,31,falling
Site_2717,-199.43,-53.14,146.29000000000002,-0.4103134861725411,-1.3235918908791648,31,falling
Site_2718,-216.1,-48.98,167.12,-0.4566113542798548,-1.4729398525156605,31,falling
Site_2719,-175.19,-30.39,144.8,-0.3739137830764755,-1.2061734937950823,31,falling
Site_272,-222.76,-41.95,180.81,-0.5015967258944102,-1.6180539544980972,31,falling
Site_2720,-208.4,-67.55,140.85000000000002,-0.4000675839059701,-1.2905405932450646,31,falling
Site_2721,-217.03,-46.53,170.5,-0.45893485203266954,-1.4804350065569987,31,falling
Site_2722,-211.39,-61.67,149.71999999999997,-0.40203628655821005,-1.296891246961968,31,falling
Site_2723,-184.11,-35.66,148.45000000000002,-0.4061643633655233,-1.3102076237597526,31,falling
Site_2724,-215.93,-65.08,150.85000000000002,-0.41529901593180396,-1.339674244941303,31,falling
Site_2725,-218.08,-63.0,155.08,-0.42525866607489926,-1.3718021486287073,31,falling
Site_2726,-202.24,-66.83,135.41000000000003,-0.37532600766236607,-1.2107290569753744,31,falling
Site_2727,-210.82,-49.89,160.93,-0.4334723170240226,-1.3982977968516859,31,falling
Site_2728,-137.72,-15.7,122.02,-0.3130028772133882,-1.0096867006883492,31,falling
Site_2729,-207.66,-69.91,137.75,-0.38789114542681236,-1.25126175944133,31,falling
Site_273,-213.17,-52.83,160.33999999999997,-0.4476010672217038,-1.443874410392593,31,falling
Site_2730,-169.58,-23.89,145.69,-0.3982762379924806,-1.28476205804026,31,falling
Site_2731,-199.52,-66.74,132.78000000000003,-0.3480407885809317,-1.1227122212288119,31,falling
Site_2732,-205.09,-42.81,162.28,-0.4110872652698918,-1.3260879524835218,31,falling
Site_2733,-216.41,-28.7,187.71,-0.5377767455859771,-1.7347636954386358,31,falling
Site_2734,-152.3,-29.8,122.50000000000001,-0.30546090509787127,-0.9853577583802299,31,consistent
Site_2735,-181.85,-45.27,136.57999999999998,-0.3789062074348419,-1.22227808849949,31,falling
Site_2736,-218.81,-36.18,182.63,-0.5051529973523515,-1.6295257979108113,31,falling
Site_2737,-198.77,-22.28,176.49,-0.49170317258689017,-1.5861392664093232,31,falling
Site_2738,-273.47,-72.17,201.3,-0.5475468771521705,-1.7662802488779694,31,falling
Site_2739,-202.18,-45.31,156.87,-0.4722262234533701,-1.523310398236678,31,falling
Site_274,-196.88,-28.31,168.57,-0.4550830973916324,-1.4680099915859108,31,falling
Site_2740,-173.74,-46.29,127.45000000000002,-0.32196378231125994,-1.0385928461653546,31,falling
Site_2741,-193.55,-30.28,163.27,-0.44233811848609594,-1.426897156406761,31,falling
