site,slope,intercept,trend,h,p,z,Tau,s
Site_183,-0.45690476190476204,-17.968571428571394,decreasing,True,0.0,-30.446800690221217,-0.9794072363356428,-91602.0
Site_184,-0.40927992740942387,-27.895535679564446,decreasing,True,0.0,-30.36636351413107,-0.9768197758959883,-91360.0
Site_185,-0.4173684210526314,-45.428421052631634,decreasing,True,0.0,-30.139012156917598,-0.9695064579591138,-90676.0
Site_186,-0.37184890612424093,-53.85063627716394,decreasing,True,0.0,-30.236402639547183,-0.9726392096484475,-90969.0
Site_187,-0.3247382127192987,-53.56654605263148,decreasing,True,0.0,-30.056918036725698,-0.9668655375930203,-90429.0
Site_188,-0.44166898792943377,-15.109498607242315,decreasing,True,0.0,-30.3680271167838,-0.9768732358224275,-91365.0
Site_189,-0.3490017182130585,-22.59562886597938,decreasing,True,0.0,-29.93360151842371,-0.962898811051236,-90058.0
Site_190,-0.45065681622088005,-10.108127696289912,decreasing,True,0.0,-30.235741209899473,-0.9726178256778719,-90967.0
Site_191,-0.4381953053365121,-3.759814047313384,decreasing,True,0.0,-30.334454551715144,-0.9757933453083568,-91264.0
Site_192,-0.537960038764109,-39.75063162695244,decreasing,True,0.0,-30.453448390724535,-0.9796210760413994,-91622.0
Site_193,-0.418,-4.561999999999998,decreasing,True,0.0,-30.21811979290708,-0.9720511504576169,-90914.0
Site_194,-0.5202371545618665,-36.84877461463684,decreasing,True,0.0,-30.423533738459604,-0.9786587973654948,-91532.0
Site_195,-0.45176056338028175,-50.33971830985912,decreasing,True,0.0,-30.359385105652102,-0.9765952442049439,-91339.0
Site_196,-0.3792674796747968,-41.66822439024389,decreasing,True,0.0,-30.01204770875531,-0.9654221195791635,-90294.0
Site_197,-0.5053412619988706,-18.536287408243936,decreasing,True,0.0,-30.404255406999983,-0.9780386622188008,-91474.0
Site_198,-0.43553820288445955,-27.40374817695674,decreasing,True,0.0,-30.22310723780611,-0.9722115302369344,-90929.0
Site_199,-0.3894422222222222,-50.20048,decreasing,True,0.0,-30.09181680788227,-0.9679881960482423,-90534.0
Site_200,-0.358170731707317,-19.535121951219537,decreasing,True,0.0,-30.17823358988717,-0.9707681122230776,-90794.0
Site_201,-0.4301869158878504,-33.74962616822431,decreasing,True,0.0,-29.824245185573933,-0.9593811478915405,-89729.0
Site_202,-0.40469939759036144,-17.47493012048193,decreasing,True,0.0,-30.145325807170938,-0.9697096056795825,-90695.0
Site_203,-0.4479813484708063,-23.19602873030584,decreasing,True,0.0,-30.386971385691353,-0.9774826789838337,-91422.0
Site_204,-0.32544081723295565,-23.984783477681574,decreasing,True,0.0,-29.86745854098396,-0.9607711059789582,-89859.0
Site_205,-0.418268278750952,-33.67405178979436,decreasing,True,0.0,-30.272300224248077,-0.973793944059533,-91077.0
Site_206,-0.3714833149981665,-43.73960396039604,decreasing,True,0.0,-30.123729101888134,-0.9690146266358738,-90630.0
Site_207,-0.3541645516074444,-31.590456852792002,decreasing,True,0.0,-30.016694467656546,-0.965571807373193,-90308.0
Site_208,-0.47668539857932124,-44.24595390686662,decreasing,True,0.0,-30.534550336865014,-0.9822299204516295,-91866.0
Site_209,-0.41712878249062463,-36.25018298202508,decreasing,True,0.0,-30.174582355133722,-0.9706505003849115,-90783.0
Site_210,-0.2263636363636365,-45.725454545454525,decreasing,True,0.0,-29.108628226651625,-0.9363613035668463,-87576.0
Site_211,-0.4582706998298396,-16.16352883675465,decreasing,True,0.0,-30.3534055283075,-0.976402788469763,-91321.0
Site_212,-0.31481661333387684,-66.30961151988261,decreasing,True,0.0,-29.837209850476267,-0.9597981353177658,-89768.0
Site_213,-0.4189230124521073,-20.902629310344835,decreasing,True,0.0,-30.079516899002527,-0.9675925925925926,-90497.0
Site_214,-0.38075614636935395,-6.286672384219543,decreasing,True,0.0,-30.18987206882516,-0.9711423317081516,-90829.0
Site_215,-0.36814104439406126,-14.681534410882776,decreasing,True,0.0,-30.08782818713962,-0.9678598922247883,-90522.0
Site_216,-0.37419292803970233,-19.574327543424303,decreasing,True,0.0,-30.155968790639797,-0.9700517492087931,-90727.0
Site_217,-0.45446552882999663,-25.005445772720734,decreasing,True,0.0,-30.356057901485293,-0.9764883243520657,-91329.0
Site_218,-0.5013684210526316,-18.784421052631572,decreasing,True,0.0,-30.5761035320741,-0.983566418612608,-91991.0
Site_219,-0.4139444298928852,-19.948003143136788,decreasing,True,0.0,-30.239392434517697,-0.972735437516038,-90978.0
Site_220,-0.4183725998675789,-26.921518428602965,decreasing,True,0.0,-30.217451684438764,-0.9720297664870413,-90912.0
Site_221,-0.49606907395358923,13.360919973975271,decreasing,True,0.0,-30.12340503686413,-0.9690039346505859,-90629.0
Site_222,-0.34700821051214753,-34.07622652937613,decreasing,True,0.0,-29.920640153823747,-0.9624818236250107,-90019.0
Site_223,-0.36878048780487804,-14.833414634146337,decreasing,True,0.0,-30.058905705401642,-0.9669296895047472,-90435.0
Site_224,-0.42991769407939295,-62.11777807885112,decreasing,True,0.0,-30.336786274295065,-0.9758681892053717,-91271.0
Site_225,-0.42565655976676386,-5.518183090378997,decreasing,True,0.0,-30.291244498443575,-0.9744033872209392,-91134.0
Site_226,-0.34863558796152655,-39.81471300031026,decreasing,True,0.0,-30.095808753604928,-0.9681164998716961,-90546.0
Site_227,-0.44498174963699094,-14.993942078409958,decreasing,True,0.0,-30.376335064886046,-0.9771405354546232,-91390.0
Site_228,-0.44152117884356795,-24.531425369789332,decreasing,True,0.0,-30.17258804465223,-0.9705863484731845,-90777.0
Site_229,-0.49237547892720307,-37.006896551724154,decreasing,True,0.0,-30.53720941706634,-0.9823154563339321,-91874.0
Site_230,-0.3786616476119842,-29.099084115811422,decreasing,True,0.0,-30.25036949548663,-0.9730882730305364,-91011.0
Site_231,-0.30498570858543494,-40.533086945546046,decreasing,True,0.0,-29.70460954223198,-0.9555320331879223,-89369.0
Site_232,-0.4066275629558278,-27.158446401541184,decreasing,True,0.0,-30.26532849760507,-0.9735694123684886,-91056.0
