site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1091,decreasing,True,0.0,-16.2707986480493,-0.9117816091954023,-9519.0,342195.0,-0.39072172619047607,-135.23803571428573
Site_1092,decreasing,True,0.0,-16.922035070434646,-0.9482758620689655,-9900.0,342198.0,-0.45737468671679204,-168.039022556391
Site_1093,decreasing,True,0.0,-16.959593830943554,-0.9503831417624521,-9922.0,342200.0,-0.5487244067796611,-133.1518427118644
Site_1094,decreasing,True,0.0,-17.17330194218929,-0.9623563218390805,-10047.0,342199.0,-0.5463733075435204,-170.49112185686653
Site_1095,decreasing,True,0.0,-16.47588769711742,-0.9232758620689655,-9639.0,342197.0,-0.36750000000000005,-139.07999999999998
Site_1096,decreasing,True,0.0,-17.11176114287426,-0.9589080459770115,-10011.0,342199.0,-0.5762220009955201,-84.10201592832256
Site_1097,decreasing,True,0.0,-15.880945156573613,-0.8899425287356322,-9291.0,342199.0,-0.37456898888587675,-145.43103280021688
Site_1098,decreasing,True,0.0,-17.238261674799602,-0.9659961685823755,-10085.0,342199.0,-0.6311398082276523,-101.79793380760904
Site_1099,decreasing,True,0.0,-15.265670995531904,-0.8554597701149426,-8931.0,342193.0,-0.25770474137931043,-81.51525862068965
Site_11,decreasing,True,0.0,-16.460478401173372,-0.9224137931034483,-9630.0,342198.0,-0.41499999999999937,-143.44000000000005
Site_110,decreasing,True,0.0,-16.6758715134953,-0.9344827586206896,-9756.0,342198.0,-0.38275000000000003,-146.722
Site_1100,decreasing,True,0.0,-17.134009244465748,-0.9601532567049809,-10024.0,342198.0,-0.5236363636363632,-133.41818181818184
Site_1101,decreasing,True,0.0,-17.08614410839421,-0.957471264367816,-9996.0,342198.0,-0.5116091458153581,-124.16414150129421
Site_1102,decreasing,True,0.0,-16.492982413549374,-0.9242337164750958,-9649.0,342197.0,-0.40974166666666645,-109.1286
Site_1103,decreasing,True,0.0,-15.874153678712634,-0.88955938697318,-9287.0,342197.0,-0.2853484743411929,-122.0549098474341
Site_1104,decreasing,True,0.0,-16.845084345842455,-0.9439655172413793,-9855.0,342199.0,-0.5224893162393163,-119.10076923076923
Site_1105,decreasing,True,0.0,-16.771601785638378,-0.9398467432950192,-9812.0,342198.0,-0.4593911970382559,-118.00383381324559
Site_1106,decreasing,True,0.0,-16.622853681649282,-0.9315134099616859,-9725.0,342199.0,-0.39486013986013996,-123.29006993006992
Site_1107,decreasing,True,0.0,-16.69980408153107,-0.935823754789272,-9770.0,342198.0,-0.4113196594427243,-108.13498452012385
Site_1108,decreasing,True,0.0,-17.067315010035625,-0.9564176245210728,-9985.0,342199.0,-0.5195826086956524,-138.91005217391302
Site_1109,decreasing,True,0.0,-16.335663284845797,-0.9154214559386973,-9557.0,342199.0,-0.3734741379310345,-129.21986206896554
Site_111,decreasing,True,0.0,-15.990397750449922,-0.8960727969348659,-9355.0,342197.0,-0.34518143078512403,-110.62693698347105
Site_1110,decreasing,True,0.0,-16.52548652094699,-0.9260536398467433,-9668.0,342196.0,-0.4357080200501252,-123.809022556391
Site_1111,decreasing,True,0.0,-16.935710823597944,-0.9490421455938697,-9908.0,342198.0,-0.4480880077369439,-152.78766344294004
Site_1112,decreasing,True,0.0,-15.781842209980082,-0.8843869731800766,-9233.0,342197.0,-0.3938501602564104,-98.09278846153845
Site_1113,decreasing,True,0.0,-16.333929952088063,-0.9153256704980843,-9556.0,342200.0,-0.49365304420350326,-125.44698081734776
Site_1114,decreasing,True,0.0,-15.896353583187368,-0.8908045977011494,-9300.0,342198.0,-0.428216488153197,-84.10841285296982
Site_1115,decreasing,True,0.0,-16.534009732986064,-0.9265325670498085,-9673.0,342197.0,-0.3380880230880231,-124.56766233766234
Site_1116,decreasing,True,0.0,-16.610863144368363,-0.9308429118773947,-9718.0,342200.0,-0.3461904761904764,-108.91428571428571
