site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1129,decreasing,True,5.974276628961661e-10,-6.191107968422467,-0.4950532724505327,-1301.0,44091.0,-0.10214285714285709,-157.90285714285716
Site_113,decreasing,True,0.0,-11.424845838006222,-0.91324200913242,-2400.0,44092.0,-0.4883333333333332,-114.89999999999999
Site_1130,decreasing,True,0.0,-11.84393147108023,-0.9467275494672754,-2488.0,44092.0,-0.6549104573073234,-168.13322353693636
Site_1131,decreasing,True,0.0,-10.75811869447939,-0.8599695585996956,-2260.0,44092.0,-0.4680476190476192,-137.7402857142857
Site_1132,decreasing,True,0.0,-10.662871959689843,-0.852359208523592,-2240.0,44092.0,-0.4131009615384617,-139.63836538461538
Site_1133,decreasing,True,0.0,-11.415321164527267,-0.9124809741248098,-2398.0,44092.0,-0.4399999999999977,-152.0200000000001
Site_1134,decreasing,True,0.0,-11.029696965281873,-0.8816590563165906,-2317.0,44091.0,-0.3805535714285714,-163.62007142857144
Site_1135,decreasing,True,0.0,-10.115317942253323,-0.808599695585997,-2125.0,44091.0,-0.4504347826086953,-114.40434782608698
Site_1136,decreasing,True,0.0,-11.062908245805941,-0.8843226788432268,-2324.0,44092.0,-0.4375,-161.83
Site_1137,decreasing,True,0.0,-11.001372138784134,-0.8793759512937596,-2311.0,44089.0,-0.49120967741935456,-173.56645161290322
Site_1138,decreasing,True,0.0,-11.643913328022181,-0.9307458143074582,-2446.0,44092.0,-0.6181071428571427,-130.75814285714284
Site_1139,decreasing,True,0.0,-10.35367230723667,-0.8276255707762558,-2175.0,44089.0,-0.3486818181818182,-165.39745454545454
Site_114,decreasing,True,0.0,-10.562982672277718,-0.8443683409436834,-2219.0,44091.0,-0.36174242424242425,-134.4272727272727
Site_1140,decreasing,True,0.0,-10.548815126213086,-0.8432267884322678,-2216.0,44090.0,-0.38985915492957757,-132.95507042253521
Site_1141,decreasing,True,7.125411372044255e-13,-7.177004241626691,-0.573820395738204,-1508.0,44090.0,-0.16669683257918566,-155.4089140271493
Site_1142,decreasing,True,0.0,-10.915399587403304,-0.8725266362252664,-2293.0,44091.0,-0.3973333333333329,-138.30600000000004
Site_1143,decreasing,True,0.0,-11.329599103216674,-0.9056316590563166,-2380.0,44092.0,-0.6022222222222224,-173.20999999999998
Site_1144,decreasing,True,0.0,-11.415580071120889,-0.9124809741248098,-2398.0,44090.0,-0.5088706739526415,-154.4606557377049
Site_1145,decreasing,True,0.0,-10.420347289895968,-0.8329528158295282,-2189.0,44089.0,-0.3199999999999998,-145.82000000000002
Site_1146,decreasing,True,0.0,-10.120195098511426,-0.8089802130898022,-2126.0,44090.0,-0.4348863636363637,-170.74409090909091
Site_1147,decreasing,True,0.0,-11.424845838006222,-0.91324200913242,-2400.0,44092.0,-0.5161731601731601,-139.02776623376624
Site_1148,decreasing,True,0.0,-10.510715568195161,-0.8401826484018264,-2208.0,44090.0,-0.30633725490196134,-144.2818588235294
Site_1149,decreasing,True,0.0,-11.163297096671,-0.8923135464231354,-2345.0,44089.0,-0.46245,-149.8018
Site_115,decreasing,True,0.0,-10.929562817100575,-0.8736681887366818,-2296.0,44092.0,-0.5015899122807017,-134.55276315789476
Site_1150,decreasing,True,0.0,-10.386656428800155,-0.830289193302892,-2182.0,44092.0,-0.23746296296296304,-108.05133333333333
Site_1151,decreasing,True,0.0,-10.277239227581296,-0.821537290715373,-2159.0,44091.0,-0.35287393162393177,-183.32653846153846
Site_1152,decreasing,True,0.0,-10.839201335484258,-0.8664383561643836,-2277.0,44091.0,-0.3683712121212126,-168.31863636363636
Site_1153,decreasing,True,0.0,-9.25808760816406,-0.7401065449010654,-1945.0,44091.0,-0.38376262626262503,-117.16454545454549
Site_1154,decreasing,True,0.0,-10.95813683753744,-0.875951293759513,-2302.0,44092.0,-0.4774596774193548,-125.37145161290323
Site_1155,decreasing,True,0.0,-11.52498560275567,-0.9212328767123288,-2421.0,44091.0,-0.5522500000000001,-127.179
Site_1156,decreasing,True,0.0,-10.663113800266862,-0.852359208523592,-2240.0,44090.0,-0.3631698564593299,-137.25588516746413
Site_1157,decreasing,True,0.0,-11.010647402302112,-0.8801369863013698,-2313.0,44091.0,-0.4440221987315013,-166.65520084566595
Site_1158,decreasing,True,0.0,-8.724897730845253,-0.6974885844748858,-1833.0,44089.0,-0.1921944444444439,-154.221
Site_1159,decreasing,True,0.0,-11.39163866189734,-0.9105783866057838,-2393.0,44091.0,-0.48421637426900577,-174.23821052631578
Site_116,decreasing,True,0.0,-11.725006014043165,-0.9372146118721462,-2463.0,44091.0,-0.5365345368916794,-173.64475667189956
Site_1160,decreasing,True,0.0,-11.720110715853819,-0.936834094368341,-2462.0,44092.0,-0.4691506602641057,-128.0205762304922
Site_1161,decreasing,True,0.0,-10.996235531453259,-0.8789954337899544,-2310.0,44092.0,-0.42578397212543556,-183.76177700348433
Site_1162,decreasing,True,0.0,-9.510817886390319,-0.7602739726027398,-1998.0,44088.0,-0.24539501039501047,-167.47577962577964
Site_1163,decreasing,True,0.0,-11.629758199144359,-0.9296042617960426,-2443.0,44091.0,-0.5456038647342992,-149.8382608695652
Site_1164,decreasing,True,0.0,-12.06299896109619,-0.9642313546423136,-2534.0,44092.0,-0.6276340326340326,-167.44517482517483
Site_1165,decreasing,True,0.0,-9.372597562392716,-0.7492389649923896,-1969.0,44089.0,-0.3334274711168165,-165.9766110397946
Site_1166,decreasing,True,0.0,-9.315236297103343,-0.7446727549467276,-1957.0,44091.0,-0.3975675675675678,-136.18756756756756
Site_1167,decreasing,True,0.0,-9.962921438415233,-0.7964231354642314,-2093.0,44091.0,-0.2451626559714794,-174.74414438502674
Site_1168,decreasing,True,0.0,-9.581930178820004,-0.7659817351598174,-2013.0,44091.0,-0.3273214285714277,-129.0864285714286
Site_1169,decreasing,True,0.0,-9.891597750403873,-0.7907153729071538,-2078.0,44090.0,-0.36692857142857155,-172.9205714285714
Site_117,decreasing,True,0.0,-10.110440897910467,-0.8082191780821918,-2124.0,44092.0,-0.31018518518518623,-160.05333333333328
Site_1170,decreasing,True,0.0,-10.85825089846402,-0.8679604261796042,-2281.0,44091.0,-0.3815564516129033,-155.2239677419355
Site_1171,decreasing,True,0.0,-10.258189664601534,-0.8200152207001522,-2155.0,44091.0,-0.3237500000000004,-145.115
Site_1172,decreasing,True,1.0880185641326534e-13,-7.42972275977804,-0.5939878234398782,-1561.0,44086.333333333336,-0.28506097560975613,-186.5378048780488
Site_1173,decreasing,True,0.0,-10.434516452159311,-0.8340943683409436,-2192.0,44090.0,-0.3866768665850674,-112.43963280293758
Site_1174,decreasing,True,0.0,-10.315338353540819,-0.8245814307458144,-2167.0,44091.0,-0.29852238354506966,-133.42319419237748
Site_1175,decreasing,True,0.0,-9.505731926900959,-0.7598934550989346,-1997.0,44091.0,-0.26794592413236484,-168.89394673123485
Site_1176,decreasing,True,0.0,-10.119965571389422,-0.8089802130898022,-2126.0,44092.0,-0.3019999999999986,-138.39800000000005
Site_1177,decreasing,True,0.0,-9.643731897441684,-0.7709284627092846,-2026.0,44092.0,-0.22104915627292715,-159.91223037417464
Site_1178,decreasing,True,0.0,-10.386892004636904,-0.830289193302892,-2182.0,44090.0,-0.28798305084745746,-166.48261016949152
Site_1179,decreasing,True,0.0,-11.758209409769638,-0.9398782343987824,-2470.0,44092.0,-0.5675431034482756,-128.54844827586206
Site_118,decreasing,True,0.0,-9.448583237961673,-0.7553272450532724,-1985.0,44091.0,-0.22820381231671544,-150.27466275659825
Site_1180,decreasing,True,0.0,-11.296390846998532,-0.9029680365296804,-2373.0,44091.0,-0.38648701298701277,-140.48646753246754
