site,slope,intercept,trend,h,p,z,Tau,s
Site_130,-0.40344067906434267,-76.15938961964622,decreasing,True,0.0,-28.239054378715014,-0.9638392857142857,-71247.0
Site_131,-0.3773860013860014,-49.37188773388773,decreasing,True,0.0,-27.91403491056942,-0.9527462121212121,-70427.0
Site_132,-0.39178571428571435,-67.97714285714284,decreasing,True,0.0,-28.33735162327501,-0.9671942640692641,-71495.0
Site_133,-0.373030303030303,-69.83818181818184,decreasing,True,0.0,-28.162953286152437,-0.9612418831168831,-71055.0
Site_134,-0.414752611250136,-60.547498639973895,decreasing,True,0.0,-28.46854002731484,-0.9716720779220779,-71826.0
Site_135,-0.43710997732426304,-63.1348843537415,decreasing,True,0.0,-28.523631793921957,-0.9735524891774892,-71965.0
Site_136,-0.44310818713450306,-102.67322807017541,decreasing,True,0.0,-27.98895790453338,-0.9553030303030303,-70616.0
Site_137,-0.38496659391563853,-61.92641396819741,decreasing,True,0.0,-28.097945855369694,-0.9590232683982683,-70891.0
Site_138,-0.4439194594594594,-43.03746378378381,decreasing,True,0.0,-28.48082494280552,-0.9720914502164503,-71857.0
Site_139,-0.5112339506172839,-35.97308148148147,decreasing,True,0.0,-28.72181166020178,-0.9803165584415584,-72465.0
Site_140,-0.4504499443263489,-65.67361068934102,decreasing,True,0.0,-28.40393561697705,-0.9694669913419913,-71663.0
Site_141,-0.43870612684729066,-4.378423645320197,decreasing,True,0.0,-28.455865455771423,-0.9712391774891775,-71794.0
Site_142,-0.4129561459667095,-77.26241997439179,decreasing,True,0.0,-28.585084767002044,-0.9756493506493507,-72120.0
Site_143,-0.41967373485767817,-39.1226429073258,decreasing,True,0.0,-28.34844969927372,-0.967573051948052,-71523.0
Site_144,-0.37430593233862597,-38.42326099098382,decreasing,True,0.0,-28.33971642581578,-0.9672754329004329,-71501.0
Site_145,-0.4417924528301887,-20.79584905660377,decreasing,True,0.0,-28.522843555425503,-0.9735254329004329,-71963.0
Site_146,-0.3786206896551725,-40.54482758620688,decreasing,True,0.0,-28.267184826553923,-0.9647997835497836,-71318.0
Site_147,-0.4279999999999997,-35.354000000000056,decreasing,True,0.0,-28.18949832507455,-0.9621482683982684,-71122.0
Site_148,-0.39710842873734864,-45.57518168242905,decreasing,True,0.0,-28.13362265672728,-0.9602408008658009,-70981.0
Site_149,-0.4017241379310345,-38.448965517241376,decreasing,True,0.0,-28.32427842265609,-0.9667478354978355,-71462.0
Site_150,-0.3958654320987654,-26.813837037037032,decreasing,True,0.0,-28.43366483506908,-0.9704816017316017,-71738.0
Site_151,-0.4166256406372289,-56.38787699765204,decreasing,True,0.0,-28.267981986885726,-0.9648268398268398,-71320.0
Site_152,-0.4264285714285713,-21.025714285714315,decreasing,True,0.0,-28.566443132856605,-0.9750135281385282,-72073.0
Site_153,-0.37031195934256056,-80.47010380622837,decreasing,True,0.0,-28.19347520976247,-0.9622835497835498,-71132.0
Site_154,-0.4837863864681675,-26.253013798111837,decreasing,True,0.0,-28.29176357270736,-0.9656385281385281,-71380.0
Site_155,-0.5037202212138401,-68.55571752694271,decreasing,True,0.0,-28.67504121175974,-0.9787202380952381,-72347.0
Site_156,-0.4248484848484848,-57.48909090909092,decreasing,True,0.0,-28.424940453308512,-0.9701839826839826,-71716.0
Site_157,-0.42907763204537414,-53.11709464728817,decreasing,True,0.0,-28.59656198471293,-0.9760416666666667,-72149.0
Site_158,-0.364340957394227,-30.086536180308414,decreasing,True,0.0,-27.82683575570722,-0.9497700216450217,-70207.0
Site_159,-0.45486061944173767,-73.10676106718637,decreasing,True,0.0,-28.598147423643173,-0.9760957792207792,-72153.0
Site_160,-0.49473567768979965,-38.710749883558464,decreasing,True,0.0,-28.481622136763374,-0.9721185064935065,-71859.0
Site_161,-0.34594298829586234,-68.45894624719443,decreasing,True,0.0,-27.927112590108965,-0.9531926406926406,-70460.0
Site_162,-0.3826358210891635,-36.023922350880596,decreasing,True,0.0,-28.458642210431996,-0.9713338744588744,-71801.0
Site_163,-0.44783611719605687,-36.415465498357094,decreasing,True,0.0,-28.559304169852325,-0.9747700216450217,-72055.0
Site_164,-0.3741176470588234,-61.199411764705914,decreasing,True,0.0,-28.379764357231064,-0.9686417748917749,-71602.0
Site_165,-0.3843149824032178,-28.081523378582176,decreasing,True,0.0,-28.562080931546603,-0.9748647186147186,-72062.0
Site_166,-0.39050647428782836,-67.42275693673696,decreasing,True,0.0,-28.057521564164702,-0.9576433982683983,-70789.0
Site_167,-0.49724396661223014,-10.949158410451815,decreasing,True,0.0,-28.602106527548507,-0.9762310606060606,-72163.0
Site_168,-0.42021186821079104,-59.379321303528116,decreasing,True,0.0,-28.198616813223055,-0.9624594155844156,-71145.0
Site_169,-0.3972849180426118,-39.401295735818536,decreasing,True,0.0,-28.48440784265795,-0.9722132034632035,-71866.0
Site_170,-0.41076923076923083,-54.93230769230769,decreasing,True,0.0,-28.456653704974904,-0.9712662337662338,-71796.0
Site_171,-0.38592592592592595,-48.612222222222215,decreasing,True,0.0,-28.584675683418702,-0.9756358225108225,-72119.0
Site_172,-0.4951461054362607,-53.851947756237934,decreasing,True,0.0,-28.627872154851023,-0.9771103896103897,-72228.0
Site_173,-0.35420676930907236,-65.86230029265812,decreasing,True,0.0,-28.2434121186071,-0.9639880952380953,-71258.0
Site_174,-0.513934668736056,-52.404543602677265,decreasing,True,0.0,-28.63184024995673,-0.977245670995671,-72238.0
Site_175,-0.37370551038843725,-76.80854200542005,decreasing,True,0.0,-27.680178283035044,-0.9447646103896103,-69837.0
Site_176,-0.4151169630642956,-40.27754309165526,decreasing,True,0.0,-28.38491926543004,-0.9688176406926406,-71615.0
Site_177,-0.3732739942983846,-96.34139309471016,decreasing,True,0.0,-28.35320601755888,-0.9677353896103896,-71535.0
Site_178,-0.38226735395188993,-55.164668041237135,decreasing,True,0.0,-28.414240971642585,-0.969818722943723,-71689.0
Site_179,-0.4303426924308743,-31.924203053272137,decreasing,True,0.0,-28.522444955177214,-0.9735119047619047,-71962.0
Site_180,-0.420571428571429,-67.36028571428565,decreasing,True,0.0,-28.502631444786548,-0.9728354978354978,-71912.0
Site_181,-0.38694281045751633,-32.53698039215686,decreasing,True,0.0,-28.38689437560551,-0.9688852813852814,-71620.0
Site_182,-0.3925203467213657,-55.19609342949778,decreasing,True,0.0,-28.180384265525312,-0.9618371212121212,-71099.0
Site_183,-0.461963961038961,-32.892919480519495,decreasing,True,0.0,-28.578728041621748,-0.9754329004329004,-72104.0
Site_184,-0.4126680790960453,-47.1777288135593,decreasing,True,0.0,-28.51094828248005,-0.9731195887445887,-71933.0
Site_185,-0.41831153222650796,-65.73418581251047,decreasing,True,0.0,-28.226756137008536,-0.9634199134199134,-71216.0
Site_186,-0.3653483316481295,-77.63312032355913,decreasing,True,0.0,-28.324663658011414,-0.9667613636363637,-71463.0
Site_187,-0.30631158392434993,-69.46817588652482,decreasing,True,0.0,-28.17484408186534,-0.9616477272727273,-71085.0
Site_188,-0.45095064303093496,-33.28747653806049,decreasing,True,0.0,-28.51729451829791,-0.9733360389610389,-71949.0
Site_189,-0.36121708276333786,-35.00632010943913,decreasing,True,0.0,-28.160176555154983,-0.9611471861471862,-71048.0
Site_190,-0.45827586206896553,-27.24103448275862,decreasing,True,0.0,-28.36905595503217,-0.9682765151515151,-71575.0
Site_191,-0.44427725366876314,-24.828767295597473,decreasing,True,0.0,-28.581106200203912,-0.9755140692640693,-72110.0
Site_192,-0.5364507879018934,-63.02144872283648,decreasing,True,0.0,-28.622327615628077,-0.9769209956709957,-72214.0
Site_193,-0.4180228219368275,-23.359618188129133,decreasing,True,0.0,-28.344875781042344,-0.9674512987012988,-71514.0
Site_194,-0.535846464019851,-64.1474789081886,decreasing,True,0.0,-28.757089935284004,-0.9815205627705628,-72554.0
Site_195,-0.4330701754385965,-70.38052631578947,decreasing,True,0.0,-28.533941629680694,-0.9739042207792208,-71991.0
Site_196,-0.38006497890295365,-56.6575240506329,decreasing,True,0.0,-28.25689279187944,-0.9644480519480519,-71292.0
Site_197,-0.49718429077144155,-49.050616171883206,decreasing,True,0.0,-28.52403039423199,-0.9735660173160173,-71966.0
Site_198,-0.44772030279503106,-40.82770186335405,decreasing,True,0.0,-28.3975938602598,-0.9692505411255411,-71647.0
Site_199,-0.4018993670886076,-65.01532151898735,decreasing,True,0.0,-28.18593772982155,-0.9620265151515152,-71113.0
Site_200,-0.36631578947368426,-33.97736842105263,decreasing,True,0.0,-28.349627644450404,-0.9676136363636364,-71526.0
Site_201,-0.4448107236684977,-53.66634105564843,decreasing,True,0.0,-28.278685921811345,-0.9651920995670996,-71347.0
Site_202,-0.39481265522081843,-48.10597019760286,decreasing,True,0.0,-28.406703441455658,-0.9695616883116883,-71670.0
Site_203,-0.4570884654397913,-43.83901463556006,decreasing,True,0.0,-28.63302708010842,-0.9772862554112555,-72241.0
Site_204,-0.32505827901502804,-40.11881042911462,decreasing,True,0.0,-27.964773357604063,-0.9544778138528138,-70555.0
Site_205,-0.43276315789473685,-52.79947368421051,decreasing,True,0.0,-28.43405449436348,-0.9704951298701299,-71739.0
Site_206,-0.37350660957765214,-57.39673096109081,decreasing,True,0.0,-28.292565181820233,-0.9656655844155844,-71382.0
Site_207,-0.34197042540792544,-56.68167832167832,decreasing,True,0.0,-28.085656495586527,-0.9586038961038961,-70860.0
Site_208,-0.4793294386156153,-65.39874778580187,decreasing,True,0.0,-28.75154089859229,-0.9813311688311688,-72540.0
Site_209,-0.42580302028218686,-52.1358201058201,decreasing,True,0.0,-28.392443413168984,-0.9690746753246753,-71634.0
Site_210,-0.23416348318686908,-52.980611228121134,decreasing,True,0.0,-27.187119589107958,-0.9279356060606061,-68593.0
Site_211,-0.4686895003903201,-35.111615925058544,decreasing,True,0.0,-28.54147470773087,-0.9741612554112554,-72010.0
Site_212,-0.29734375,-86.97,decreasing,True,0.0,-28.107458490445573,-0.9593479437229437,-70915.0
Site_213,-0.42960966407893786,-41.74494449684393,decreasing,True,0.0,-28.474881783533945,-0.9718885281385281,-71842.0
Site_214,-0.39632375847535267,-18.745838372732294,decreasing,True,0.0,-28.453084231535744,-0.9711444805194805,-71787.0
Site_215,-0.35682261741906063,-29.230057455540347,decreasing,True,0.0,-28.157798396199208,-0.9610660173160173,-71042.0
Site_216,-0.39355907278165503,-35.04665802592224,decreasing,True,0.0,-28.34448610070275,-0.9674377705627706,-71513.0
Site_217,-0.4484979105401641,-46.96840117628851,decreasing,True,0.0,-28.48795941799159,-0.9723349567099567,-71875.0
Site_218,-0.49237233811386355,-45.51451108213821,decreasing,True,0.0,-28.70913716923176,-0.979883658008658,-72433.0
Site_219,-0.40633519871777457,-44.83364184618728,decreasing,True,0.0,-28.429696770472837,-0.9703463203463204,-71728.0
Site_220,-0.4113464775964776,-47.561476301476304,decreasing,True,0.0,-28.397983528024298,-0.9692640692640693,-71648.0
Site_221,-0.5228571428571429,-9.611428571428561,decreasing,True,0.0,-28.588648263983828,-0.9757711038961039,-72129.0
Site_222,-0.3380332473752071,-51.81761650396024,decreasing,True,0.0,-27.956053440747937,-0.9541801948051948,-70533.0
Site_223,-0.36799999999999977,-36.24400000000006,decreasing,True,0.0,-28.398382118433112,-0.9692775974025974,-71649.0
Site_224,-0.4256329933624737,-85.97846527440504,decreasing,True,0.0,-28.534340230863545,-0.973917748917749,-71992.0
Site_225,-0.4408702180441312,-24.772918135526808,decreasing,True,0.0,-28.51094828248005,-0.9731195887445887,-71933.0
Site_226,-0.3412726588574046,-56.97564949937832,decreasing,True,0.0,-28.246188856142755,-0.9640827922077922,-71265.0
Site_227,-0.45137533068783087,-34.815936507936485,decreasing,True,0.0,-28.5168959184855,-0.9733225108225109,-71948.0
Site_228,-0.42065664103723804,-53.08392492085029,decreasing,True,0.0,-28.24460341671437,-0.9640286796536797,-71261.0
Site_229,-0.5070886075949368,-57.088987341772125,decreasing,True,0.0,-28.71586851985984,-0.9801136363636364,-72450.0
Site_230,-0.37147140522875854,-45.85749019607837,decreasing,True,0.0,-28.463792653536046,-0.9715097402597402,-71814.0
Site_231,-0.3002618944191682,-55.40971627151971,decreasing,True,0.0,-27.820126047927918,-0.9495400432900433,-70190.0
Site_232,-0.4099469043997522,-52.440194355247584,decreasing,True,0.0,-28.40592857245902,-0.9695346320346321,-71668.0
