site,slope,intercept
Site_137,-0.38496659391563853,-61.92641396819741
Site_138,-0.4439194594594594,-43.03746378378381
Site_139,-0.5112339506172839,-35.97308148148147
Site_140,-0.4504499443263489,-65.67361068934102
Site_141,-0.43870612684729066,-4.378423645320197
Site_142,-0.4129561459667095,-77.26241997439179
Site_143,-0.41967373485767817,-39.1226429073258
Site_144,-0.37430593233862597,-38.42326099098382
Site_145,-0.4417924528301887,-20.79584905660377
Site_146,-0.3786206896551725,-40.54482758620688
Site_147,-0.4279999999999997,-35.354000000000056
Site_148,-0.39710842873734864,-45.57518168242905
Site_149,-0.4017241379310345,-38.448965517241376
Site_150,-0.3958654320987654,-26.813837037037032
Site_151,-0.4166256406372289,-56.38787699765204
Site_152,-0.4264285714285713,-21.025714285714315
Site_153,-0.37031195934256056,-80.47010380622837
Site_154,-0.4837863864681675,-26.253013798111837
Site_155,-0.5037202212138401,-68.55571752694271
Site_156,-0.4248484848484848,-57.48909090909092
Site_157,-0.42907763204537414,-53.11709464728817
Site_158,-0.364340957394227,-30.086536180308414
Site_159,-0.45486061944173767,-73.10676106718637
Site_160,-0.49473567768979965,-38.710749883558464
Site_161,-0.34594298829586234,-68.45894624719443
Site_162,-0.3826358210891635,-36.023922350880596
Site_163,-0.44783611719605687,-36.415465498357094
Site_164,-0.3741176470588234,-61.199411764705914
Site_165,-0.3843149824032178,-28.081523378582176
Site_166,-0.39050647428782836,-67.42275693673696
Site_167,-0.49724396661223014,-10.949158410451815
Site_168,-0.42021186821079104,-59.379321303528116
Site_169,-0.3972849180426118,-39.401295735818536
Site_170,-0.41076923076923083,-54.93230769230769
Site_171,-0.38592592592592595,-48.612222222222215
Site_172,-0.4951461054362607,-53.851947756237934
Site_173,-0.35420676930907236,-65.86230029265812
Site_174,-0.513934668736056,-52.404543602677265
Site_175,-0.37370551038843725,-76.80854200542005
Site_176,-0.4151169630642956,-40.27754309165526
Site_177,-0.3732739942983846,-96.34139309471016
Site_178,-0.38226735395188993,-55.164668041237135
Site_179,-0.4303426924308743,-31.924203053272137
Site_180,-0.420571428571429,-67.36028571428565
Site_181,-0.38694281045751633,-32.53698039215686
Site_182,-0.3925203467213657,-55.19609342949778
Site_183,-0.461963961038961,-32.892919480519495
Site_184,-0.4126680790960453,-47.1777288135593
Site_185,-0.41831153222650796,-65.73418581251047
Site_186,-0.3653483316481295,-77.63312032355913
Site_187,-0.30631158392434993,-69.46817588652482
Site_188,-0.45095064303093496,-33.28747653806049
Site_189,-0.36121708276333786,-35.00632010943913
Site_190,-0.45827586206896553,-27.24103448275862
Site_191,-0.44427725366876314,-24.828767295597473
Site_192,-0.5364507879018934,-63.02144872283648
Site_193,-0.4180228219368275,-23.359618188129133
Site_194,-0.535846464019851,-64.1474789081886
Site_195,-0.4330701754385965,-70.38052631578947
Site_196,-0.38006497890295365,-56.6575240506329
Site_197,-0.49718429077144155,-49.050616171883206
Site_198,-0.44772030279503106,-40.82770186335405
Site_199,-0.4018993670886076,-65.01532151898735
Site_200,-0.36631578947368426,-33.97736842105263
Site_201,-0.4448107236684977,-53.66634105564843
Site_202,-0.39481265522081843,-48.10597019760286
Site_203,-0.4570884654397913,-43.83901463556006
Site_204,-0.32505827901502804,-40.11881042911462
Site_205,-0.43276315789473685,-52.79947368421051
Site_206,-0.37350660957765214,-57.39673096109081
Site_207,-0.34197042540792544,-56.68167832167832
Site_208,-0.4793294386156153,-65.39874778580187
Site_209,-0.42580302028218686,-52.1358201058201
Site_210,-0.23416348318686908,-52.980611228121134
Site_211,-0.4686895003903201,-35.111615925058544
Site_212,-0.29734375,-86.97
Site_213,-0.42960966407893786,-41.74494449684393
Site_214,-0.39632375847535267,-18.745838372732294
Site_215,-0.35682261741906063,-29.230057455540347
Site_216,-0.39355907278165503,-35.04665802592224
Site_217,-0.4484979105401641,-46.96840117628851
Site_218,-0.49237233811386355,-45.51451108213821
Site_219,-0.40633519871777457,-44.83364184618728
Site_220,-0.4113464775964776,-47.561476301476304
Site_221,-0.5228571428571429,-9.611428571428561
Site_222,-0.3380332473752071,-51.81761650396024
Site_223,-0.36799999999999977,-36.24400000000006
Site_224,-0.4256329933624737,-85.97846527440504
Site_225,-0.4408702180441312,-24.772918135526808
Site_226,-0.3412726588574046,-56.97564949937832
Site_227,-0.45137533068783087,-34.815936507936485
Site_228,-0.42065664103723804,-53.08392492085029
Site_229,-0.5070886075949368,-57.088987341772125
Site_230,-0.37147140522875854,-45.85749019607837
Site_231,-0.3002618944191682,-55.40971627151971
Site_232,-0.4099469043997522,-52.440194355247584
Site_233,-0.4142105263157895,-68.6715789473684
Site_234,-0.33978062083901506,-76.3021207989091
Site_235,-0.384821562673458,-48.98425996669607
Site_236,-0.4881249999999996,-61.8600000000001
Site_237,-0.5649275362318842,-18.76391304347824
Site_238,-0.38970477969149897,-62.16668229923221
Site_239,-0.4608333333333333,-59.59
Site_240,-0.4188562822719449,-49.86959380378657
Site_241,-0.46741319025801786,-43.18666747046058
Site_242,-0.5521569865319865,-45.375858585858566
Site_243,-0.4328387054992228,-47.464968544149215
Site_244,-0.3871147392875583,-59.713970056788796
Site_245,-0.3689263775971093,-32.47613550135502
Site_246,-0.5013674240884517,-53.50745457501728
Site_247,-0.4162354632381444,-33.032791058276274
Site_248,-0.3575231501328989,-21.40555517448341
Site_249,-0.45741688156198196,-46.90595874009945
Site_250,-0.4427953639082751,-86.04329012961118
Site_251,-0.40106778841170576,-68.46498462495249
Site_252,-0.4705765971316819,-53.84929335071706
Site_253,-0.4408688662099819,-60.663177687683486
Site_254,-0.39792347617780144,-43.348692573862124
Site_255,-0.41547493734335844,-73.94881203007517
Site_256,-0.39831459728011454,-23.213597322218007
Site_257,-0.4154797463175123,-99.27788870703765
Site_258,-0.3566719409282701,-100.91898734177215
Site_259,-0.43183066468069264,-46.20851238130702
Site_260,-0.4236739439962031,-61.784602752729
Site_261,-0.3786885245901639,-66.62180327868855
Site_262,-0.4254501654259719,-70.9635682382134
Site_263,-0.42734939759036145,-36.9389156626506
Site_264,-0.42861510679369824,-28.865899495609938
Site_265,-0.42425962138547946,-73.29215269398794
Site_266,-0.37578331332533016,-31.629603841536607
Site_267,-0.36918182539787536,-25.967089523607925
Site_268,-0.4628373237323732,-25.65523384338435
Site_269,-0.4467172181372549,-65.21029411764705
Site_270,-0.46249999999999997,-75.71
Site_271,-0.4594555335968379,-79.49453754940714
Site_272,-0.5005873727790237,-37.41722442642745
Site_273,-0.4466075285729265,-70.55135451399812
Site_274,-0.44451931011718104,-33.01229245750123
Site_275,-0.5162823920265782,0.05621926910302477
Site_276,-0.4421886405109489,-34.09978102189781
Site_277,-0.423997084548104,-89.40255976676404
Site_278,-0.4257142857142856,-51.352857142857175
Site_279,-0.38553191489361704,-16.38787234042553
Site_280,-0.36257386314043816,-58.67581827703586
Site_281,-0.45365465416936007,-31.718306399482856
Site_282,-0.44940599354982913,-78.0640492384328
Site_283,-0.45591339251706664,-68.6246286367232
Site_284,-0.4834090909090909,-10.405454545454546
Site_285,-0.39651598306816516,-66.32893125091229
Site_286,-0.4576832835820895,-26.69480955223881
Site_287,-0.4570000000000002,-35.00599999999997
Site_288,-0.3965281375935521,-34.256597582038
Site_289,-0.4185318068595517,-81.31189308296607
Site_290,-0.512,-69.916
Site_291,-0.4794271235521235,-39.099992277992285
