Site,DecLatVa,DecLongVa,AltVa
985.0,38.915572,-102.146022,4003.58
989.0,38.908899,-102.347699,4232.56
991.0,38.885289,-102.405199,4360.97
1009.0,38.782506,-102.456301,4392.94
1010.0,38.686956,-102.160738,4068.35
2433802.0,33.4,-102.939445,3813.0
2524601.0,33.707223,-103.0225,3955.0
2411805.0,33.790556,-102.703612,3741.0
2418401.0,33.688611,-102.864723,3822.0
2418312.0,33.72,-102.774444,3783.0
2433101.0,33.485,-102.973055,3871.0
2434401.0,33.457778,-102.853056,3802.0
2433703.0,33.411389,-102.995278,3847.0
2427801.0,33.539722,-102.673611,3695.0
2426702.0,33.511945,-102.868611,3798.0
2409607.0,33.81,-102.900001,3853.0
2409801.0,33.76,-102.956389,3903.0
2417504.0,33.69,-102.939445,3876.0
2417801.0,33.64,-102.921667,3860.0
2418502.0,33.68,-102.83,3841.0
2419703.0,33.66,-102.721944,3733.0
2425702.0,33.52,-102.998334,3911.0
2433502.0,33.45,-102.950278,3835.0
2434304.0,33.46,-102.779444,3760.0
2409901.0,33.77,-102.896945,3836.0
2428401.0,33.57,-102.618055,3689.0
2418102.0,33.749722,-102.865556,3850.0
2418901.0,33.660556,-102.770278,3769.0
2418301.0,33.748611,-102.779167,3775.0
2418202.0,33.749445,-102.821944,3807.0
2418201.0,33.714723,-102.824444,3831.0
2419902.0,33.642222,-102.644445,3700.0
2419601.0,33.680833,-102.665556,3718.0
2417701.0,33.643334,-102.965834,3907.0
2433401.0,33.454167,-102.968611,3855.0
2427201.0,33.619444,-102.675555,3716.0
2426501.0,33.5722222,-102.8275,3784.0
2516902.0,33.7602778,-103.0227778,3934.0
2434801.0,33.403612,-102.813056,3750.0
2425101.0,33.62,-102.996111,3937.0
2417102.0,33.72,-102.9841667,3932.0
2419301.0,33.7202778,-102.655,3711.0
2435401.0,33.425833,-102.727222,3702.0
2426101.0,33.621111,-102.862778,3816.0
2425401.0,33.563889,-102.988611,3905.0
2433402.0,33.436389,-102.968889,3846.0
2435305.0,33.474167,-102.660556,3666.0
2411803.0,33.753334,-102.669722,3708.0
2410702.0,33.791111,-102.87,3845.0
2409401.0,33.798334,-102.972222,3895.0
2418601.0,33.688056,-102.778333,3808.0
2427301.0,33.601389,-102.641389,3703.0
2417903.0,33.661945,-102.882778,3846.0
2427901.0,33.529167,-102.638056,3661.0
2540601.0,33.429167,-103.021944,3873.0
2516903.0,33.780833,-103.020555,3911.0
2516603.0,33.820833,-103.02,3915.0
2411501.0,33.793889,-102.680278,3730.0
2435601.0,33.443889,-102.631111,3636.0
2435503.0,33.456945,-102.686945,3674.0
2418103.0,33.726111,-102.866389,3842.0
2433201.0,33.46,-102.916667,3812.0
2410903.0,33.778889,-102.791389,3803.0
2410503.0,33.811667,-102.810001,3818.0
2419702.0,33.636111,-102.731389,3749.0
2418904.0,33.643889,-102.765278,3781.0
2328602.0,33.553612,-101.531389,3092.0
2316801.0,33.7837722,-101.0698056,3024.0
2321611.0,33.698056,-101.378611,3112.0
2321303.0,33.718611,-101.388611,3122.0
2320509.0,33.681944,-101.550278,3172.0
2337204.0,33.484445,-101.445834,3034.0
2330402.0,33.551389,-101.351389,3032.0
2329702.0,33.53,-101.462501,3090.0
2329201.0,33.59,-101.435278,3093.0
2321801.0,33.665834,-101.434445,3120.0
2330103.0,33.587777,-101.341666,3052.0
2316703.0,33.77,-101.115834,3026.0
2315701.0,33.756389,-101.220833,3067.0
2315606.0,33.814723,-101.1325,3053.0
