site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1106,decreasing,True,0.0,-11.13935827549093,-0.8904109589041096,-2340.0,44090.0,-0.5381323529411763,-70.15723529411765
Site_1107,decreasing,True,2.220446049250313e-16,-8.262654242993245,-0.6605783866057838,-1736.0,44092.0,-0.22633963750985026,-83.99177304964539
Site_1108,decreasing,True,0.0,-11.024809551890122,-0.8812785388127854,-2316.0,44092.0,-0.4515192307692304,-101.5653076923077
Site_1109,decreasing,True,0.0,-10.639180924196763,-0.8504566210045662,-2235.0,44091.0,-0.418333333333333,-110.53000000000002
Site_111,decreasing,True,0.0,-11.196253674511308,-0.8949771689497716,-2352.0,44092.0,-0.5120198787061995,-81.80728436657681
Site_1110,decreasing,True,0.0,-11.234352368427126,-0.898021308980213,-2360.0,44092.0,-0.6100000000000005,-66.66999999999997
Site_1111,decreasing,True,0.0,-11.51546082126579,-0.9204718417047184,-2419.0,44091.0,-0.7043833333333334,-104.9822
Site_1112,decreasing,True,0.0,-9.65812843073905,-0.7720700152207002,-2029.0,44091.0,-0.30594642857142873,-89.94592857142857
Site_1113,decreasing,True,0.0,-10.45876357722601,-0.8359969558599696,-2197.0,44086.333333333336,-0.303203012912482,-94.26469153515066
Site_1114,decreasing,True,0.0,-10.905874805913424,-0.871765601217656,-2291.0,44091.0,-0.4478019323671497,-68.34913043478261
Site_1115,decreasing,True,0.0,-8.900807366083214,-0.7115677321156774,-1870.0,44092.0,-0.20242028985507232,-99.0328695652174
Site_1116,decreasing,True,0.0,-11.610708636164597,-0.928082191780822,-2439.0,44091.0,-0.5496190476190478,-81.84371428571427
Site_1117,decreasing,True,0.0,-10.129719988015907,-0.8097412480974124,-2128.0,44090.0,-0.2923303167420815,-125.86610859728505
Site_1118,decreasing,True,0.0,-10.667755268666406,-0.8527397260273972,-2241.0,44091.0,-0.38991228070175465,-133.13315789473683
Site_1119,decreasing,True,0.0,-10.882186258869934,-0.8698630136986302,-2286.0,44090.0,-0.3442109929078013,-82.95840425531915
Site_112,decreasing,True,0.0,-10.196394214547277,-0.815068493150685,-2142.0,44090.0,-0.27901612903225775,-81.98541935483873
