site,trend,h,p,z,Tau,s,var_s,slope,intercept
Site_1162,decreasing,True,0.0,-16.275808170992196,-0.9120689655172414,-9522.0,342200.0,-0.35112159329140524,-96.22924528301883
Site_1163,decreasing,True,0.0,-16.219466950638108,-0.9089080459770115,-9489.0,342197.0,-0.3636181818181819,-75.1894909090909
Site_1164,decreasing,True,0.0,-16.72200274721239,-0.9370689655172414,-9783.0,342199.0,-0.41509262435677535,-96.10333104631218
Site_1165,decreasing,True,0.0,-16.15625584431961,-0.9053639846743295,-9452.0,342195.3333333333,-0.4431296641791045,-83.88466417910448
Site_1166,decreasing,True,0.0,-15.31855301203807,-0.8584291187739463,-8962.0,342198.0,-0.2797679211469534,-78.11670967741935
Site_1167,decreasing,True,0.0,-16.58014124135222,-0.9291187739463601,-9700.0,342198.0,-0.3973166666666665,-84.17320000000001
Site_1168,decreasing,True,0.0,-15.687798347447089,-0.8791187739463602,-9178.0,342198.0,-0.2803677462887989,-63.20352226720648
Site_1169,decreasing,True,0.0,-17.07762171552221,-0.956992337164751,-9991.0,342197.0,-0.4693360881542701,-75.44780165289255
Site_117,decreasing,True,0.0,-15.737395947257001,-0.881896551724138,-9207.0,342197.0,-0.23189936708860753,-101.37324556962025
Site_1170,decreasing,True,0.0,-16.55452339270441,-0.9276819923371648,-9685.0,342197.0,-0.39462847116264876,-76.72675007628929
Site_1171,decreasing,True,0.0,-16.607541279714493,-0.9306513409961685,-9716.0,342196.0,-0.4272638146167558,-70.81700534759358
Site_1172,decreasing,True,0.0,-16.863913119490633,-0.9450191570881226,-9866.0,342198.0,-0.450986111111111,-90.31900000000002
Site_1173,decreasing,True,0.0,-16.6707674644417,-0.9341954022988506,-9753.0,342197.0,-0.3781036408309137,-48.916537860174216
Site_1174,decreasing,True,0.0,-15.978408102167151,-0.8954022988505748,-9348.0,342198.0,-0.3359605532786885,-71.01084016393443
Site_1175,decreasing,True,0.0,-15.899772521478193,-0.8909961685823755,-9302.0,342198.0,-0.37902993585174616,-85.72984461867426
Site_1176,decreasing,True,0.0,-16.277541418826043,-0.9121647509578544,-9523.0,342199.0,-0.4782512135922329,-63.75591262135923
Site_1177,decreasing,True,0.0,-16.539162314074908,-0.9268199233716475,-9676.0,342196.0,-0.3819999999999997,-83.72600000000003
Site_1178,decreasing,True,0.0,-16.887845687526404,-0.946360153256705,-9880.0,342198.0,-0.5694590643274852,-52.65894736842107
Site_1179,decreasing,True,0.0,-16.55957921987201,-0.9279693486590038,-9688.0,342200.0,-0.5064000000000002,-65.3492
Site_118,decreasing,True,0.0,-16.031378221565916,-0.8983716475095785,-9379.0,342199.0,-0.3895121628767848,-57.955124272871494
Site_1180,decreasing,True,0.0,-15.475869398379341,-0.8672413793103448,-9054.0,342196.0,-0.3845454545454546,-69.36272727272727
Site_1181,decreasing,True,0.0,-16.4365458331376,-0.9210727969348659,-9616.0,342198.0,-0.47770281690140826,-73.53539718309861
Site_1182,decreasing,True,0.0,-16.829674555552796,-0.9431034482758621,-9846.0,342200.0,-0.5044971108703504,-60.81620801733477
Site_1183,decreasing,True,0.0,-17.1220179427601,-0.9594827586206897,-10017.0,342199.0,-0.5987719298245613,-38.36842105263159
Site_1184,decreasing,True,0.0,-16.098070942346,-0.9021072796934866,-9418.0,342198.0,-0.43093652282676664,-80.8225703564728
Site_1185,decreasing,True,0.0,-16.496353149723937,-0.9244252873563218,-9651.0,342199.0,-0.3477638888888886,-97.66100000000003
Site_1186,decreasing,True,0.0,-15.851907385406653,-0.8883141762452107,-9274.0,342198.0,-0.3766666666666665,-39.420000000000016
Site_1187,decreasing,True,0.0,-17.108342209578982,-0.9587164750957854,-10009.0,342199.0,-0.5541565040650405,-72.9407317073171
Site_1188,decreasing,True,0.0,-16.53911398186233,-0.9268199233716475,-9676.0,342198.0,-0.38610884353741504,-72.00016326530611
